50088 3
-12.65826035 -15.93561547 13.36042969
-5.40088059 10.11579659 4.45855729
16.68548474 0.27244025 8.73324899
-6.16366844 2.11681876 0.85961438
-2.31056620 -2.78586645 0.04119497
1.57402949 11.61789290 4.08520684
-1.89171887 11.12431280 3.99812484
-0.83290186 -9.74210877 3.10618385
7.12647854 2.69677764 1.87733476
-1.36447421 9.73961613 3.27996352
-9.51169758 9.39891084 4.86264844
-5.43756531 9.56278297 4.26848797
1.20688258 -10.97836656 3.51294582
-4.04337056 8.01726470 3.41554818
1.79216879 11.05854401 3.57786748
11.43556328 -5.44831049 5.37989846
3.50666840 8.96233034 1.88801569
11.67073075 5.15503909 5.35465436
-0.51277229 -4.44264156 0.64171256
-4.89196443 5.76118629 2.33401818
14.24073397 6.56444450 7.85843748
7.13243888 -4.73445054 2.50000000
8.60324351 -6.09760583 3.56122265
15.75602721 1.60093724 7.53987731
3.86097915 -4.22620592 0.86368041
16.30011595 2.22059255 8.26675868
6.44643174 -0.37999784 1.77861500
-1.75872276 -11.47259907 4.12099939
-5.23577238 16.54335613 8.21471463
-4.51996706 16.51510190 7.87357894
-0.85305676 -12.92971486 4.88874523
8.63198438 -9.01770485 4.94852762
-7.34702790 16.07331252 9.17065797
-4.00480278 9.52807720 3.98834754
-1.49352998 0.59417006 -0.46918231
-6.15772469 0.82779081 0.56454896
-11.77770765 4.74448850 4.51553476
-12.45647364 5.39997080 4.99417502
10.67414926 -1.76335369 2.82342498
9.05566293 -0.08593933 1.99827007
4.23263632 -0.60822333 1.51186080
-1.44559304 -2.87411189 0.08707231
0.34769599 1.52710110 0.18714931
-1.12019371 -13.33197877 5.11802889
-6.47369874 9.57836478 4.41420674
1.84010443 -2.02694609 0.68735758
-11.81398659 5.15738797 4.51257947
-10.36375671 -15.89848100 11.64620332
-2.10333636 -14.92130063 6.10314948
-8.51990009 11.95373382 6.48258932
-4.70220840 -14.42753610 6.07782732
-1.70961678 4.86477657 1.02913587
13.94125946 7.62938927 8.22368402
-3.37325428 -0.24139203 -0.62791256
2.06027204 -8.82586889 1.78504326
0.19441270 3.31031415 0.34884858
-12.52807493 -14.77110440 12.14350134
3.39770975 7.15893632 0.94371291
0.62667017 -9.58559389 2.57739955
-8.32651832 -5.39802475 2.84979982
0.25277563 -2.13752696 0.20522411
1.60606839 0.97507270 0.66005067
-6.78854609 16.17381522 8.82406576
12.01011341 5.58652671 5.87710265
-2.70506165 12.32270056 4.58516403
9.47237245 -1.36496118 2.50000000
6.40579523 2.18621360 1.72552100
13.44816568 -1.49420797 4.84303513
12.86572529 -1.13269400 4.18850997
-5.55874275 7.35258466 3.32732574
1.26651832 -6.66356612 0.94897770
17.27724057 1.01353928 9.52559580
-4.82578377 -12.58649541 5.15482411
-0.20141228 14.01540623 5.83143765
-11.09233870 -5.91470660 4.05370146
11.33989444 -2.44013712 3.48482743
12.91027320 -2.20170192 4.57290827
15.73495700 -1.96977708 7.55168243
-6.23196487 7.38388436 3.39435900
2.87804934 -10.55905609 3.16449474
-2.17397945 16.21862473 7.28491820
2.03299135 8.08886701 1.36360135
-4.61516843 3.08621516 0.60715302
-10.76759375 1.11322539 4.34476213
-7.09003894 2.61889490 1.56349000
4.14351606 -9.56413936 2.48713813
10.00952996 3.08766149 3.04157496
2.92365355 4.66352148 0.64158925
0.27525563 -2.52437551 0.25191118
4.24486060 -6.57812440 0.97318360
2.59273884 -4.61257089 0.60679656
-5.07305416 11.60797257 4.87643275
12.51918324 -2.71798699 4.47867555
11.42321149 5.70546163 5.53747381
-2.73399148 12.34434453 4.59724257
-7.30727059 -11.28588821 5.46570655
1.44214783 11.33077986 3.81630788
-9.63502312 10.43491166 5.71644293
-11.95345785 -16.20308913 13.14087697
-9.69423312 9.01111493 4.65459085
10.90938844 -6.32523019 5.54022830
-4.18672833 9.07106587 3.87344073
10.48376774 -7.91932174 6.04682892
-5.75755095 8.02470011 3.66831225
-7.64581154 -15.63821714 9.00722860
-2.39974376 -13.45533881 5.09564015
-8.56076452 7.60262394 3.65504409
-0.22088420 16.45267478 8.03782623
8.52951633 -3.65524066 2.50000000
-3.24999640 5.99876059 2.10662687
-3.76925722 -12.85250949 4.96704464
-8.73287961 3.06047495 2.68587332
3.88030409 -5.79140973 0.77949807
-6.87024488 12.18072983 5.80606452
15.13262648 5.35394156 7.85307680
